epoch: 1  lr: 0.1
Epoch[1]:[300/782] Time:0.0371 Data:0.0001  Cls:61627.8398(65153.7842)  Fitnet:740279.8125(754947.1554)  prec@1:9.38(12.84)  prec@5:67.19(55.87)
Epoch[1]:[310/782] Time:0.0389 Data:0.0001  Cls:22105.9102(64738.5907)  Fitnet:747462.0000(754870.5012)  prec@1:9.38(12.83)  prec@5:54.69(56.00)
Epoch[1]:[320/782] Time:0.0391 Data:0.0001  Cls:68870.2734(64673.6360)  Fitnet:795531.8125(754698.2051)  prec@1:14.06(12.90)  prec@5:53.12(55.94)
Epoch[1]:[330/782] Time:0.0316 Data:0.0001  Cls:24116.0332(64986.5291)  Fitnet:690621.2500(754450.8320)  prec@1:14.06(12.89)  prec@5:76.56(55.95)
Epoch[1]:[340/782] Time:0.0362 Data:0.0001  Cls:52269.5703(65941.6081)  Fitnet:760672.5000(753005.7421)  prec@1:9.38(12.85)  prec@5:59.38(55.96)
Epoch[1]:[350/782] Time:0.0284 Data:0.0001  Cls:81911.9531(65906.2186)  Fitnet:838607.6875(753455.4198)  prec@1:14.06(12.86)  prec@5:59.38(56.05)
Epoch[1]:[360/782] Time:0.0303 Data:0.0001  Cls:32659.9512(65818.7179)  Fitnet:736350.9375(753099.8960)  prec@1:18.75(12.97)  prec@5:62.50(56.31)
Epoch[1]:[370/782] Time:0.0387 Data:0.0001  Cls:62733.3320(65549.6155)  Fitnet:709059.5000(753039.9007)  prec@1:14.06(13.12)  prec@5:53.12(56.47)
Epoch[1]:[380/782] Time:0.0308 Data:0.0001  Cls:114881.0391(66539.1579)  Fitnet:667226.6875(751277.4288)  prec@1:7.81(13.03)  prec@5:51.56(56.52)
Epoch[1]:[390/782] Time:0.0307 Data:0.0001  Cls:120743.7109(68225.1514)  Fitnet:670106.4375(750254.9984)  prec@1:6.25(13.00)  prec@5:48.44(56.43)
Epoch[1]:[400/782] Time:0.0353 Data:0.0001  Cls:27776.8613(68438.1400)  Fitnet:776874.6250(749992.9094)  prec@1:17.19(13.06)  prec@5:62.50(56.43)
Epoch[1]:[410/782] Time:0.0294 Data:0.0001  Cls:49508.8047(68315.3036)  Fitnet:766947.4375(750425.1076)  prec@1:18.75(13.11)  prec@5:56.25(56.36)
Epoch[1]:[420/782] Time:0.0300 Data:0.0001  Cls:90530.1797(68403.3821)  Fitnet:731497.1875(749400.9048)  prec@1:17.19(13.17)  prec@5:68.75(56.44)
Epoch[1]:[430/782] Time:0.0304 Data:0.0001  Cls:88240.7266(68517.8864)  Fitnet:752014.0000(749235.6096)  prec@1:6.25(13.20)  prec@5:48.44(56.54)
Epoch[1]:[440/782] Time:0.0300 Data:0.0001  Cls:46364.7227(68421.8527)  Fitnet:765526.3125(749212.4338)  prec@1:10.94(13.27)  prec@5:76.56(56.76)
